,username,accdescri,location,following,followers,totaltweets,usercreateti,tweetcreateti,retweetcount,text
0,zegdure,,,21,2,434,3/19/2021 2:20,4/14/2021 23:59,0,"""It took five days for their father, Araya Gebretekle, and his eldest son, Mebrahten Araya, to find the bodies of their loved ones.” #Tembienmassacre #TigrayGenocide @MedvedevRussiaE @SecBlinken @amnesty @POTUS @EU_Commission @ChrisCoons @VP @RandPaul https://t.co/kjfTS4yWYP"
1,MahdiLiima,"✊🏾❤️💛📢✨ Bring awareness to the genocide, humanitarian crisis, and war crimes that is taking place in #Tigray northern region of #Ethiopia #StopAbiyAhmedAli",Out of this world,394,1820,1871,11/28/2020 14:56,4/14/2021 23:59,70,"#TigrayGenocide 

The incidence of #rape in #Tigray, very often #gangrape, is off the scale.  According to estimates, #Ethiopian and Eritrean troops have so far raped 10,500 #Tigrayan women and girls. #StopRapeSendAid https://t.co/GtbJcfihbf"
2,Desta12298286,"Student at University of Bergen, Norway.

Lecture @Mekelle University","Bergen, Nederland",253,180,1283,3/18/2021 3:09,4/14/2021 23:59,0,"13-year-old Nahom was struck by shrapnel in #Tigray in Nov, losing his right foot and vision in his right eye. ""The gov't is doing nothing while people are affected by the war,"" his father Halefom Gebremariam said."" #UNSCActNow #TigrayGenocide @MexOnu
https://t.co/rMGJi0J0aR"
3,EthiopiaTigray,"☮️ 🕊️peace 4💛❤️⭐Respect Human rights ✍️stop #Tigraygenocide Tegaru lives matter.
stand with Tigray. #UNSCActNow to stop #crimesagainsthumanity. #Tigrycantwait",,282,148,254,11/10/2020 17:58,4/14/2021 23:59,0,#Tembienmassacre is under-reported among all other massacres in #Tigray that continue to be ignored as a consequence of war by the west. #TigrayGenocide @MedvedevRussiaE @ChinaAmbUN @UN @SecBlinken @hrw @amnesty @POTUS @EU_Commission @ChrisCoons @VP @BBC @SecBlinken @hrw
4,SabaSabawitAks1,fredom,,385,198,641,3/11/2021 7:09,4/14/2021 23:59,2,Since early November 17K+ #Tigray|an members of the #ENDF were ethnically profiled and have been unjustly imprisoned by the [unelected] govt of Ethiopia. @washingtonpost @EU_Commission @UNHumanRights #WhereAreTigrayanENDFs #TigrayGenocide .@SecBlinken .@UN .@amnesty .@hrw
5,Desta12298286,"Student at University of Bergen, Norway.

Lecture @Mekelle University","Bergen, Nederland",253,180,1283,3/18/2021 3:09,4/14/2021 23:58,0,"Schools in #Tigray's capital #Mekele now house the displaced. ""Its pediatric wards team with children nursing bullet and shrapnel wounds, some of whom have had limbs blown off."" #UNSCActNow @KenyaMissionUN @EstoniaUN @IndiaUNNewYork #TigrayGenocide
https://t.co/rMGJi0J0aR"
6,Desta12298286,"Student at University of Bergen, Norway.

Lecture @Mekelle University","Bergen, Nederland",253,180,1283,3/18/2021 3:09,4/14/2021 23:58,0,"Displaced Tigrayans ""recalled wanton slaughter, the destruction of crops and livelihoods, and tens of thousands fleeing from areas of #Ethiopia’s #Tigray region under #Eritrea|n military control."" #UNSCActNow @Niger_ONU @SVG_UN @PmTunisia #TigrayGenocide
https://t.co/8WeNSActaI"
7,NetserTS,"Software Engineer, SW Developer🌻🌻🌻🌻Gender Office

My mom  is my always hero!! Queen Mom❤❤
#EritreaOutOfTigray",,412,1008,16386,7/9/2020 8:18,4/14/2021 23:58,1,"Unfortunately 'never again' seems joke and mistakes are being repeated 
#TigrayGenocide https://t.co/Os6zIziGZl"
8,Kassa_1203,"Ex- Ethiopian Diplomat 
(in the countries of Brecht, Voltaire and Pushkin.)",,522,38,1560,8/15/2019 23:03,4/14/2021 23:58,0,"IC is hesitating to
#stopTigrayGenocide .#Russia should be on the side of the people suffering from the wrongs of #Ethiopian #Eritrean leaders,in the #UNSC in its dicussion on #TigrayGenocide 
@KremlinRussia_E @Plaid_Lavrov"
9,Dawit_ng,#Tigraygenocide #stopwaronTigray #Istandwithtigray,,536,657,3489,2/26/2020 23:12,4/14/2021 23:58,2,"We call on everyone that stands with peace and humanity to join us this Saturday, April 17th. Global twitter campaign urging the international community to hold war criminal Abiy Ahmed accountable.
Hashtags: #AbiyToICC #TigrayGenocide
pre-made tweets on https://t.co/Q5jeDSOFN4"
